ID	Type	ClassSkill	Name[5]	Limit	Stat[0]	Value[0]	Stat[1]	Value[1]	Target	mRange	Range	Region	StartMP	LevelMP	LockAdd	Starttick	LevelTick	CastingFlag	EffectFlag	HitFlag	CoolDownTime	EndCoolDown	dds	MinX	MinY	MaxX	MaxY	Hit	EndScript	Protection	Interrupt	Counter	Gauge	Parent	Child	Text
0x8101	INSTANCE	1	Net	NONE	NONE	0	NONE	0	ENEMY	0	24	0	1	0	0	0	0	FIRE2	Net.esf	NULL	16000	0	skicon01.dds	96	144	120	168	1	1	0	0	0	0	0	0	Fighter CLASS SKILL\\Skill to bind ankles together. Is not affected by magic resistance, but is affected by level difference. Does not work on monsters. Is a physical enchantment and cannot be destroyed except with Charge, Blaze and Disenchant.
0x8102	PASSIVE	0	Sword Mastery I	NONE	STR	8	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	0	0	24	24	0	0	0	0	0	0	0	0	Sword Mastery Level 1\\Boosts right-handed sword wielding.
0x8102	PASSIVE	0	Sword Mastery II	NONE	STR	8	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	0	0	24	24	0	0	0	0	0	0	0	0	Sword Mastery Level 2\\Boosts right-handed sword wielding. Allows for 5 consecutive attacks.
0x8102	PASSIVE	0	Sword Mastery III	NONE	STR	8	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	0	0	24	24	0	0	0	0	0	0	0	0	Sword Mastery Level 3\\Boosts right-handed sword wielding. Allows for 6 consecutive attacks.
0x8102	PASSIVE	0	Sword Mastery IV	NONE	STR	8	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	0	0	24	24	0	0	0	0	0	0	0	0	Sword Mastery Level 4\\Boosts right-handed sword wielding. Allows for 6 consecutive attacks.
0x8102	PASSIVE	0	Sword Mastery V	NONE	STR	8	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	0	0	24	24	0	0	0	0	0	0	0	0	Sword Mastery Level 5\\Boosts right-handed sword wielding. Allows for 6 consecutive attacks.
0x8103	PASSIVE	0	Axe Mastery I	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	24	0	48	24	0	0	0	0	0	0	0	0	Axe Mastery Level 1\\Boosts right-handed axe usage.
0x8103	PASSIVE	0	Axe Mastery II	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	24	0	48	24	0	0	0	0	0	0	0	0	Axe Mastery Level 2\\Boosts right-handed axe usage.
0x8103	PASSIVE	0	Axe Mastery III	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	24	0	48	24	0	0	0	0	0	0	0	0	Axe Mastery Level 3\\Boosts right-handed axe usage.
0x8103	PASSIVE	0	Axe Mastery IV	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	24	0	48	24	0	0	0	0	0	0	0	0	Axe Mastery Level 4\\Boosts right-handed axe usage.
0x8103	PASSIVE	0	Axe Mastery V	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	24	0	48	24	0	0	0	0	0	0	0	0	Axe Mastery Level 5\\Boosts right-handed axe usage.
0x8104	INSTANCE	0	Forceful Blow	FORFIGHTER	STR	8	NONE	0	MELEE	0	1.5	0	0	40	0	0	0	BASH	HardHit1.esf	NULL	12000	0	skicon01.dds	48	24	72	48	1	0	0	1	1	0	0	0	Hard Hit Level 1\\Delivers a strong melee attack to the enemy that taunts and slows.
0x8104	INSTANCE	0	Slug	FORFIGHTER	STR	8	NONE	0	MELEE	0	1.5	0	240	40	0	0	0	BASH	HardHit2.esf	NULL	12000	0	skicon01.dds	48	24	72	48	1	0	0	1	1	0	0	0	Hard Hit Level 2\\Delivers a strong melee attack to the enemy that taunts and slows. Swords deliver extra damage, Bludgeons stun, and Axes break armor.
0x8104	INSTANCE	0	Bash	FORFIGHTER	STR	8	NONE	0	MELEE	0	1.5	0	480	40	0	0	0	BASH	HardHit3.esf	NULL	12000	0	skicon01.dds	48	24	72	48	1	0	0	1	1	0	0	0	Hard Hit Level 3\\Delivers a strong melee attack to the enemy that taunts and slows. Swords deliver extra damage, Bludgeons stun, and Axes break armor.
0x8104	INSTANCE	0	Pummel	FORFIGHTER	STR	8	NONE	0	MELEE	0	1.5	0	720	40	0	0	0	BASH	HardHit4.esf	NULL	12000	0	skicon01.dds	48	24	72	48	1	0	0	1	1	0	0	0	Hard Hit Level 4\\Delivers a strong melee attack to the enemy that taunts and slows. Swords deliver extra damage, Bludgeons stun, and Axes break armor.
0x8104	INSTANCE	0	Demolish	FORFIGHTER	STR	8	NONE	0	MELEE	0	1.5	0	960	40	0	0	0	BASH	HardHit4.esf	NULL	12000	0	skicon01.dds	48	24	72	48	1	0	0	1	1	0	0	0	Hard Hit Level 5\\Delivers a strong melee attack to the enemy that taunts and slows. Swords deliver extra damage, Bludgeons stun, and Axes break armor.
0x8105	PASSIVE	0	Bludgeon Mastery I	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	48	0	72	24	0	0	0	0	0	0	0	0	Bludgeon Mastery Level 1\\Increases the effectiveness of blunt weapons.
0x8105	PASSIVE	0	Bludgeon Mastery II	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	48	0	72	24	0	0	0	0	0	0	0	0	Bludgeon Mastery Level 2\\Increases the effectiveness of blunt weapons. Allows for 5 consecutive attacks.
0x8105	PASSIVE	0	Bludgeon Mastery III	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	48	0	72	24	0	0	0	0	0	0	0	0	Bludgeon Mastery Level 3\\Increases the effectiveness of blunt weapons. Allows for 6 consecutive attacks.
0x8105	PASSIVE	0	Bludgeon Mastery IV	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	48	0	72	24	0	0	0	0	0	0	0	0	Bludgeon Mastery Level 4\\Increases the effectiveness of blunt weapons. Allows for 6 consecutive attacks.
0x8105	PASSIVE	0	Bludgeon Mastery V	NONE	CON	7	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	48	0	72	24	0	0	0	0	0	0	0	0	Bludgeon Mastery Level 5\\Increases the effectiveness of blunt weapons. Allows for 6 consecutive attacks.
0x8106	PASSIVE	0	Focus I	NONE	STR	8	NONE	0	NONE	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	0	skicon01.dds	24	192	48	216	0	0	0	0	0	0	0	0	Focus Level 1\\Increases MP recovery and magic resistance.
